time_of_the_day,Day,CPU_Usage(%),Memory_Usage(%),Network_bandwidth_usage,Number_of_active_request,Response_time(ms),Disk_I/O
01:43,Monday,62,77,137,197,267,52
01:44,Monday,61,76,136,196,266,51
01:45,Monday,60,75,135,195,265,50
01:46,Monday,59,74,134,194,264,49
01:47,Monday,58,73,133,193,263,48
01:48,Monday,57,72,132,192,262,47
01:49,Monday,56,71,131,191,261,46
01:50,Monday,55,70,130,190,260,45
01:51,Monday,54,69,129,189,259,44
01:52,Monday,53,68,128,188,258,43
01:53,Monday,52,67,127,187,257,42
01:54,Monday,51,66,126,186,256,41
01:55,Monday,50,65,125,185,255,40
01:56,Monday,49,64,124,184,254,39
01:57,Monday,48,63,123,183,253,38
01:58,Monday,47,62,122,182,252,37
01:59,Monday,46,61,121,181,251,36
02:00,Monday,45,60,120,180,250,35
02:01,Monday,46,61,121,181,251,36
02:02,Monday,47,62,122,182,252,37
02:03,Monday,48,63,123,183,253,38
02:04,Monday,49,64,124,184,254,39
02:05,Monday,50,65,125,185,255,40
02:06,Monday,51,66,126,186,256,41
02:07,Monday,52,67,127,187,257,42
02:08,Monday,53,68,128,188,258,43
02:09,Monday,54,69,129,189,259,44
02:10,Monday,55,70,130,190,260,45
02:11,Monday,56,71,131,191,261,46
02:12,Monday,57,72,132,192,262,47
02:13,Monday,58,73,133,193,263,48
02:14,Monday,59,74,134,194,264,49
02:15,Monday,60,75,135,195,265,50
02:16,Monday,61,76,136,196,266,51
02:17,Monday,62,77,137,197,267,52
02:18,Monday,63,78,138,198,268,53
02:19,Monday,64,79,139,199,269,54
02:20,Monday,65,80,140,200,270,55
02:21,Monday,64,79,139,199,269,54
02:22,Monday,63,78,138,198,268,53
02:23,Monday,62,77,137,197,267,52
02:24,Monday,61,76,136,196,266,51
02:25,Monday,60,75,135,195,265,50
02:26,Monday,59,74,134,194,264,49
02:27,Monday,58,73,133,193,263,48
02:28,Monday,57,72,132,192,262,47
02:29,Monday,56,71,131,191,261,46
02:30,Monday,55,70,130,190,260,45
02:31,Monday,54,69,129,189,259,44
02:32,Monday,53,68,128,188,258,43
02:33,Monday,52,67,127,187,257,42
02:34,Monday,51,66,126,186,256,41
02:35,Monday,50,65,125,185,255,40
02:36,Monday,49,64,124,184,254,39
02:37,Monday,48,63,123,183,253,38
02:38,Monday,47,62,122,182,252,37
02:39,Monday,46,61,121,181,251,36
02:40,Monday,45,60,120,180,250,35
02:41,Monday,46,61,121,181,251,36
02:42,Monday,47,62,122,182,252,37
02:43,Monday,48,63,123,183,253,38
02:44,Monday,49,64,124,184,254,39
02:45,Monday,50,65,125,185,255,40
02:46,Monday,51,66,126,186,256,41
02:47,Monday,52,67,127,187,257,42
02:48,Monday,53,68,128,188,258,43
02:49,Monday,54,69,129,189,259,44
02:50,Monday,55,70,130,190,260,45
02:51,Monday,56,71,131,191,261,46
02:52,Monday,57,72,132,192,262,47
02:53,Monday,58,73,133,193,263,48
02:54,Monday,59,74,134,194,264,49
02:55,Monday,60,75,135,195,265,50
02:56,Monday,61,76,136,196,266,51
02:57,Monday,62,77,137,197,267,52
02:58,Monday,63,78,138,198,268,53
02:59,Monday,64,79,139,199,269,54
03:00,Monday,65,80,140,200,270,55
03:01,Monday,64,79,139,199,269,54
03:02,Monday,63,78,138,198,268,53
03:03,Monday,62,77,137,197,267,52
03:04,Monday,61,76,136,196,266,51
03:05,Monday,60,75,135,195,265,50
03:06,Monday,59,74,134,194,264,49
03:07,Monday,58,73,133,193,263,48
03:08,Monday,57,72,132,192,262,47
03:09,Monday,56,71,131,191,261,46
03:10,Monday,55,70,130,190,260,45
03:11,Monday,54,69,129,189,259,44
03:12,Monday,53,68,128,188,258,43
03:13,Monday,52,67,127,187,257,42
03:14,Monday,51,66,126,186,256,41
03:15,Monday,50,65,125,185,255,40
03:16,Monday,49,64,124,184,254,39
03:17,Monday,48,63,123,183,253,38
03:18,Monday,47,62,122,182,252,37
03:19,Monday,46,61,121,181,251,36
03:20,Monday,45,60,120,180,250,35
03:21,Monday,46,61,121,181,251,36
03:22,Monday,47,62,122,182,252,37
03:23,Monday,48,63,123,183,253,38
03:24,Monday,49,64,124,184,254,39
03:25,Monday,50,65,125,185,255,40
03:26,Monday,51,66,126,186,256,41
03:27,Monday,52,67,127,187,257,42
03:28,Monday,53,68,128,188,258,43
03:29,Monday,54,69,129,189,259,44
03:30,Monday,55,70,130,190,260,45
03:31,Monday,56,71,131,191,261,46
03:32,Monday,57,72,132,192,262,47
03:33,Monday,58,73,133,193,263,48
03:34,Monday,59,74,134,194,264,49
03:35,Monday,60,75,135,195,265,50
03:36,Monday,61,76,136,196,266,51
03:37,Monday,62,77,137,197,267,52
03:38,Monday,63,78,138,198,268,53
03:39,Monday,64,79,139,199,269,54
03:40,Monday,65,80,140,200,270,55
03:41,Monday,64,79,139,199,269,54
03:42,Monday,63,78,138,198,268,53
03:43,Monday,62,77,137,197,267,52
03:44,Monday,61,76,136,196,266,51
03:45,Monday,60,75,135,195,265,50
03:46,Monday,59,74,134,194,264,49
03:47,Monday,58,73,133,193,263,48
03:48,Monday,57,72,132,192,262,47
03:49,Monday,56,71,131,191,261,46
03:50,Monday,55,70,130,190,260,45
03:51,Monday,54,69,129,189,259,44
03:52,Monday,53,68,128,188,258,43
03:53,Monday,52,67,127,187,257,42
03:54,Monday,51,66,126,186,256,41
03:55,Monday,50,65,125,185,255,40
03:56,Monday,49,64,124,184,254,39
03:57,Monday,48,63,123,183,253,38
03:58,Monday,47,62,122,182,252,37
03:59,Monday,46,61,121,181,251,36
04:00,Monday,45,60,120,180,250,35
04:01,Monday,46,61,121,181,251,36
04:02,Monday,47,62,122,182,252,37
04:03,Monday,48,63,123,183,253,38
04:04,Monday,49,64,124,184,254,39
04:05,Monday,50,65,125,185,255,40
04:06,Monday,51,66,126,186,256,41
04:07,Monday,52,67,127,187,257,42
04:08,Monday,53,68,128,188,258,43
04:09,Monday,54,69,129,189,259,44
04:10,Monday,55,70,130,190,260,45
04:11,Monday,56,71,131,191,261,46
04:12,Monday,57,72,132,192,262,47
04:13,Monday,58,73,133,193,263,48
04:14,Monday,59,74,134,194,264,49
04:15,Monday,60,75,135,195,265,50
04:16,Monday,61,76,136,196,266,51
04:17,Monday,62,77,137,197,267,52
04:18,Monday,63,78,138,198,268,53
04:19,Monday,64,79,139,199,269,54
04:20,Monday,65,80,140,200,270,55
04:21,Monday,64,79,139,199,269,54
04:22,Monday,63,78,138,198,268,53
04:23,Monday,62,77,137,197,267,52
04:24,Monday,61,76,136,196,266,51
04:25,Monday,60,75,135,195,265,50
04:26,Monday,59,74,134,194,264,49
04:27,Monday,58,73,133,193,263,48
04:28,Monday,57,72,132,192,262,47
04:29,Monday,56,71,131,191,261,46
04:30,Monday,55,70,130,190,260,45
04:31,Monday,54,69,129,189,259,44
04:32,Monday,53,68,128,188,258,43
04:33,Monday,52,67,127,187,257,42
04:34,Monday,51,66,126,186,256,41
04:35,Monday,50,65,125,185,255,40
04:36,Monday,49,64,124,184,254,39
04:37,Monday,48,63,123,183,253,38
04:38,Monday,47,62,122,182,252,37
04:39,Monday,46,61,121,181,251,36
04:40,Monday,45,60,120,180,250,35
04:41,Monday,46,61,121,181,251,36
04:42,Monday,47,62,122,182,252,37
04:43,Monday,48,63,123,183,253,38
04:44,Monday,49,64,124,184,254,39
04:45,Monday,50,65,125,185,255,40
04:46,Monday,51,66,126,186,256,41
04:47,Monday,52,67,127,187,257,42
04:48,Monday,53,68,128,188,258,43
04:49,Monday,54,69,129,189,259,44
04:50,Monday,55,70,130,190,260,45
04:51,Monday,56,71,131,191,261,46
04:52,Monday,57,72,132,192,262,47
04:53,Monday,58,73,133,193,263,48
04:54,Monday,59,74,134,194,264,49
04:55,Monday,60,75,135,195,265,50
04:56,Monday,61,76,136,196,266,51
04:57,Monday,62,77,137,197,267,52
04:58,Monday,63,78,138,198,268,53
04:59,Monday,64,79,139,199,269,54
05:00,Monday,65,80,140,200,270,55
05:01,Monday,64,79,139,199,269,54
05:02,Monday,63,78,138,198,268,53
05:03,Monday,62,77,137,197,267,52
05:04,Monday,61,76,136,196,266,51
05:05,Monday,60,75,135,195,265,50
05:06,Monday,59,74,134,194,264,49
05:07,Monday,58,73,133,193,263,48
05:08,Monday,57,72,132,192,262,47
05:09,Monday,56,71,131,191,261,46
05:10,Monday,55,70,130,190,260,45
05:11,Monday,54,69,129,189,259,44
05:12,Monday,53,68,128,188,258,43
05:13,Monday,52,67,127,187,257,42
05:14,Monday,51,66,126,186,256,41
05:15,Monday,50,65,125,185,255,40
05:16,Monday,49,64,124,184,254,39
05:17,Monday,48,63,123,183,253,38
05:18,Monday,47,62,122,182,252,37
05:19,Monday,46,61,121,181,251,36
05:20,Monday,45,60,120,180,250,35
05:21,Monday,46,61,121,181,251,36
05:22,Monday,47,62,122,182,252,37
05:23,Monday,48,63,123,183,253,38
05:24,Monday,49,64,124,184,254,39
05:25,Monday,50,65,125,185,255,40
05:26,Monday,51,66,126,186,256,41
05:27,Monday,52,67,127,187,257,42
05:28,Monday,53,68,128,188,258,43
05:29,Monday,54,69,129,189,259,44
05:30,Monday,55,70,130,190,260,45
05:31,Monday,56,71,131,191,261,46
05:32,Monday,57,72,132,192,262,47
05:33,Monday,58,73,133,193,263,48
05:34,Monday,59,74,134,194,264,49
05:35,Monday,60,75,135,195,265,50
05:36,Monday,61,76,136,196,266,51
05:37,Monday,62,77,137,197,267,52
05:38,Monday,63,78,138,198,268,53
05:39,Monday,64,79,139,199,269,54
05:40,Monday,65,80,140,200,270,55
05:41,Monday,64,79,139,199,269,54
05:42,Monday,63,78,138,198,268,53
05:43,Monday,62,77,137,197,267,52
05:44,Monday,61,76,136,196,266,51
05:45,Monday,60,75,135,195,265,50
05:46,Monday,59,74,134,194,264,49
05:47,Monday,58,73,133,193,263,48
05:48,Monday,57,72,132,192,262,47
05:49,Monday,56,71,131,191,261,46
05:50,Monday,55,70,130,190,260,45
05:51,Monday,54,69,129,189,259,44
05:52,Monday,53,68,128,188,258,43
05:53,Monday,52,67,127,187,257,42
05:54,Monday,51,66,126,186,256,41
05:55,Monday,50,65,125,185,255,40
05:56,Monday,49,64,124,184,254,39
05:57,Monday,48,63,123,183,253,38
05:58,Monday,47,62,122,182,252,37
05:59,Monday,46,61,121,181,251,36
06:00,Monday,75,85,180,240,310,65
06:01,Monday,76,86,181,241,311,66
06:02,Monday,77,87,182,242,312,67
06:03,Monday,78,88,183,243,313,68
06:04,Monday,79,89,184,244,314,69
06:05,Monday,80,90,185,245,315,70
06:06,Monday,81,91,186,246,316,71
06:07,Monday,82,92,187,247,317,72
06:08,Monday,83,93,188,248,318,73
06:09,Monday,84,94,189,249,319,74
06:10,Monday,85,95,190,250,320,75
06:11,Monday,86,96,191,251,321,76
06:12,Monday,87,97,192,252,322,77
06:13,Monday,88,98,193,253,323,78
06:14,Monday,89,99,194,254,324,79
06:15,Monday,90,100,195,255,325,80
06:16,Monday,91,101,196,256,326,81
06:17,Monday,92,102,197,257,327,82
06:18,Monday,93,103,198,258,328,83
06:19,Monday,94,104,199,259,329,84
06:20,Monday,95,105,200,260,330,85
06:21,Monday,96,106,201,261,331,86
06:22,Monday,97,107,202,262,332,87
06:23,Monday,98,108,203,263,333,88
06:24,Monday,99,109,204,264,334,89
06:25,Monday,100,110,205,265,335,90
06:26,Monday,101,111,206,266,336,91
06:27,Monday,102,112,207,267,337,92
06:28,Monday,103,113,208,268,338,93
06:29,Monday,104,114,209,269,339,94
06:30,Monday,105,115,210,270,340,95
06:31,Monday,106,116,211,271,341,96
06:32,Monday,107,117,212,272,342,97
06:33,Monday,108,118,213,273,343,98
06:34,Monday,109,119,214,274,344,99
06:35,Monday,110,120,215,275,345,100
06:36,Monday,109,119,214,274,344,99
06:37,Monday,108,118,213,273,343,98
06:38,Monday,107,117,212,272,342,97
06:39,Monday,106,116,211,271,341,96
06:40,Monday,105,115,210,270,340,95
06:41,Monday,104,114,209,269,339,94
06:42,Monday,103,113,208,268,338,93
06:43,Monday,102,112,207,267,337,92
06:44,Monday,101,111,206,266,336,91
06:45,Monday,100,110,205,265,335,90
06:46,Monday,99,109,204,264,334,89
06:47,Monday,98,108,203,263,333,88
06:48,Monday,97,107,202,262,332,87
06:49,Monday,96,106,201,261,331,86
06:50,Monday,95,105,200,260,330,85
06:51,Monday,94,104,199,259,329,84
06:52,Monday,93,103,198,258,328,83
06:53,Monday,92,102,197,257,327,82
06:54,Monday,91,101,196,256,326,81
06:55,Monday,90,100,195,255,325,80
06:56,Monday,89,99,194,254,324,79
06:57,Monday,88,98,193,253,323,78
06:58,Monday,87,97,192,252,322,77
06:59,Monday,86,96,191,251,321,76
07:00,Monday,85,95,190,250,320,75
07:01,Monday,86,96,191,251,321,76
07:02,Monday,87,97,192,252,322,77
07:03,Monday,88,98,193,253,323,78
07:04,Monday,89,99,194,254,324,79
07:05,Monday,90,100,195,255,325,80
07:06,Monday,91,101,196,256,326,81
07:07,Monday,92,102,197,257,327,82
07:08,Monday,93,103,198,258,328,83
07:09,Monday,94,104,199,259,329,84
07:10,Monday,95,105,200,260,330,85
07:11,Monday,96,106,201,261,331,86
07:12,Monday,97,107,202,262,332,87
07:13,Monday,98,108,203,263,333,88
07:14,Monday,99,109,204,264,334,89
07:15,Monday,100,110,205,265,335,90
07:16,Monday,101,111,206,266,336,91
07:17,Monday,102,112,207,267,337,92
07:18,Monday,103,113,208,268,338,93
07:19,Monday,104,114,209,269,339,94
07:20,Monday,105,115,210,270,340,95
07:21,Monday,106,116,211,271,341,96
07:22,Monday,107,117,212,272,342,97
07:23,Monday,108,118,213,273,343,98
07:24,Monday,109,119,214,274,344,99
07:25,Monday,110,120,215,275,345,100
07:26,Monday,111,121,216,276,346,101
07:27,Monday,112,122,217,277,347,102
07:28,Monday,113,123,218,278,348,103
07:29,Monday,114,124,219,279,349,104
07:30,Monday,115,125,220,280,350,105
07:31,Monday,114,124,219,279,349,104
07:32,Monday,113,123,218,278,348,103
07:33,Monday,112,122,217,277,347,102
07:34,Monday,111,121,216,276,346,101
07:35,Monday,110,120,215,275,345,100
07:36,Monday,109,119,214,274,344,99
07:37,Monday,108,118,213,273,343,98
07:38,Monday,107,117,212,272,342,97
07:39,Monday,106,116,211,271,341,96
07:40,Monday,105,115,210,270,340,95
07:41,Monday,104,114,209,269,339,94
07:42,Monday,103,113,208,268,338,93
07:43,Monday,102,112,207,267,337,92
07:44,Monday,101,111,206,266,336,91
07:45,Monday,100,110,205,265,335,90
07:46,Monday,99,109,204,264,334,89
07:47,Monday,98,108,203,263,333,88
07:48,Monday,97,107,202,262,332,87
07:49,Monday,96,106,201,261,331,86
07:50,Monday,95,105,200,260,330,85
07:51,Monday,94,104,199,259,329,84
07:52,Monday,93,103,198,258,328,83
07:53,Monday,92,102,197,257,327,82
07:54,Monday,91,101,196,256,326,81
07:55,Monday,90,100,195,255,325,80
07:56,Monday,89,99,194,254,324,79
07:57,Monday,88,98,193,253,323,78
07:58,Monday,87,97,192,252,322,77
07:59,Monday,86,96,191,251,321,76
08:00,Monday,85,95,190,250,320,75
08:01,Monday,86,96,191,251,321,76
08:02,Monday,87,97,192,252,322,77
08:03,Monday,88,98,193,253,323,78
08:04,Monday,89,99,194,254,324,79
08:05,Monday,90,100,195,255,325,80
08:06,Monday,91,101,196,256,326,81
08:07,Monday,92,102,197,257,327,82
08:08,Monday,93,103,198,258,328,83
08:09,Monday,94,104,199,259,329,84
08:10,Monday,95,105,200,260,330,85
08:11,Monday,96,106,201,261,331,86
08:12,Monday,97,107,202,262,332,87
08:13,Monday,98,108,203,263,333,88
08:14,Monday,99,109,204,264,334,89
08:15,Monday,100,110,205,265,335,90
08:16,Monday,101,111,206,266,336,91
08:17,Monday,102,112,207,267,337,92
08:18,Monday,103,113,208,268,338,93
08:19,Monday,104,114,209,269,339,94
08:20,Monday,105,115,210,270,340,95
08:21,Monday,106,116,211,271,341,96
08:22,Monday,107,117,212,272,342,97
08:23,Monday,108,118,213,273,343,98
08:24,Monday,109,119,214,274,344,99
08:25,Monday,110,120,215,275,345,100
08:26,Monday,111,121,216,276,346,101
08:27,Monday,112,122,217,277,347,102
08:28,Monday,113,123,218,278,348,103
08:29,Monday,114,124,219,279,349,104
08:30,Monday,115,125,220,280,350,105
08:31,Monday,116,126,221,281,351,106
08:32,Monday,117,127,222,282,352,107
08:33,Monday,118,128,223,283,353,108
08:34,Monday,119,129,224,284,354,109
08:35,Monday,120,130,225,285,355,110
08:36,Monday,119,129,224,284,354,109
08:37,Monday,118,128,223,283,353,108
08:38,Monday,117,127,222,282,352,107
08:39,Monday,116,126,221,281,351,106
08:40,Monday,115,125,220,280,350,105
08:41,Monday,114,124,219,279,349,104
08:42,Monday,113,123,218,278,348,103
08:43,Monday,112,122,217,277,347,102
08:44,Monday,111,121,216,276,346,101
08:45,Monday,110,120,215,275,345,100
08:46,Monday,109,119,214,274,344,99
08:47,Monday,108,118,213,273,343,98
08:48,Monday,107,117,212,272,342,97
08:49,Monday,106,116,211,271,341,96
08:50,Monday,105,115,210,270,340,95
08:51,Monday,104,114,209,269,339,94
08:52,Monday,103,113,208,268,338,93
08:53,Monday,102,112,207,267,337,92
08:54,Monday,101,111,206,266,336,91
08:55,Monday,100,110,205,265,335,90
08:56,Monday,99,109,204,264,334,89
08:57,Monday,98,108,203,263,333,88
08:58,Monday,97,107,202,262,332,87
08:59,Monday,96,106,201,261,331,86
09:00,Monday,95,105,200,260,330,85
09:01,Monday,96,106,201,261,331,86
09:02,Monday,97,107,202,262,332,87
09:03,Monday,98,108,203,263,333,88
09:04,Monday,99,109,204,264,334,89
09:05,Monday,100,110,205,265,335,90
09:06,Monday,101,111,206,266,336,91
09:07,Monday,102,112,207,267,337,92
09:08,Monday,103,113,208,268,338,93
09:09,Monday,104,114,209,269,339,94
09:10,Monday,105,115,210,270,340,95
09:11,Monday,106,116,211,271,341,96
09:12,Monday,107,117,212,272,342,97
09:13,Monday,108,118,213,273,343,98
09:14,Monday,109,119,214,274,344,99
09:15,Monday,110,120,215,275,345,100
09:16,Monday,111,121,216,276,346,101
09:17,Monday,112,122,217,277,347,102
09:18,Monday,113,123,218,278,348,103
09:19,Monday,114,124,219,279,349,104
09:20,Monday,115,125,220,280,350,105
09:21,Monday,116,126,221,281,351,106
09:22,Monday,117,127,222,282,352,107
09:23,Monday,118,128,223,283,353,108
09:24,Monday,119,129,224,284,354,109
09:25,Monday,120,130,225,285,355,110
09:26,Monday,121,131,226,286,356,111
09:27,Monday,122,132,227,287,357,112
09:28,Monday,123,133,228,288,358,113
09:29,Monday,124,134,229,289,359,114
09:30,Monday,125,135,230,290,360,115
09:31,Monday,124,134,229,289,359,114
09:32,Monday,123,133,228,288,358,113
09:33,Monday,122,132,227,287,357,112
09:34,Monday,121,131,226,286,356,111
09:35,Monday,120,130,225,285,355,110
09:36,Monday,119,129,224,284,354,109
09:37,Monday,118,128,223,283,353,108
09:38,Monday,117,127,222,282,352,107
09:39,Monday,116,126,221,281,351,106
09:40,Monday,115,125,220,280,350,105
09:41,Monday,114,124,219,279,349,104
09:42,Monday,113,123,218,278,348,103
09:43,Monday,112,122,217,277,347,102
09:44,Monday,111,121,216,276,346,101
09:45,Monday,110,120,215,275,345,100
09:46,Monday,109,119,214,274,344,99
09:47,Monday,108,118,213,273,343,98
09:48,Monday,107,117,212,272,342,97
09:49,Monday,106,116,211,271,341,96
09:50,Monday,105,115,210,270,340,95
09:51,Monday,104,114,209,269,339,94
09:52,Monday,103,113,208,268,338,93
09:53,Monday,102,112,207,267,337,92
09:54,Monday,101,111,206,266,336,91
09:55,Monday,100,110,205,265,335,90
09:56,Monday,99,109,204,264,334,89
09:57,Monday,98,108,203,263,333,88
09:58,Monday,97,107,202,262,332,87
09:59,Monday,96,106,201,261,331,86
10:00,Monday,95,105,200,260,330,85
10:01,Monday,96,106,201,261,331,86
10:02,Monday,97,107,202,262,332,87
10:03,Monday,98,108,203,263,333,88
10:04,Monday,99,109,204,264,334,89
10:05,Monday,100,110,205,265,335,90
10:06,Monday,101,111,206,266,336,91
10:07,Monday,102,112,207,267,337,92
10:08,Monday,103,113,208,268,338,93
10:09,Monday,104,114,209,269,339,94
10:10,Monday,105,115,210,270,340,95
10:11,Monday,106,116,211,271,341,96
10:12,Monday,107,117,212,272,342,97
10:13,Monday,108,118,213,273,343,98
10:14,Monday,109,119,214,274,344,99
10:15,Monday,110,120,215,275,345,100
10:16,Monday,111,121,216,276,346,101
10:17,Monday,112,122,217,277,347,102
10:18,Monday,113,123,218,278,348,103
10:19,Monday,114,124,219,279,349,104
10:20,Monday,115,125,220,280,350,105
10:21,Monday,116,126,221,281,351,106
10:22,Monday,117,127,222,282,352,107
10:23,Monday,118,128,223,283,353,108
10:24,Monday,119,129,224,284,354,109
10:25,Monday,120,130,225,285,355,110
10:26,Monday,121,131,226,286,356,111
10:27,Monday,122,132,227,287,357,112
10:28,Monday,123,133,228,288,358,113
10:29,Monday,124,134,229,289,359,114
10:30,Monday,125,135,230,290,360,115
10:31,Monday,126,136,231,291,361,116
10:32,Monday,127,137,232,292,362,117
10:33,Monday,128,138,233,293,363,118
10:34,Monday,129,139,234,294,364,119
10:35,Monday,130,140,235,295,365,120
10:36,Monday,129,139,234,294,364,119
10:37,Monday,128,138,233,293,363,118
10:38,Monday,127,137,232,292,362,117
10:39,Monday,126,136,231,291,361,116
10:40,Monday,125,135,230,290,360,115
10:41,Monday,124,134,229,289,359,114
10:42,Monday,123,133,228,288,358,113
10:43,Monday,122,132,227,287,357,112
10:44,Monday,121,131,226,286,356,111
10:45,Monday,120,130,225,285,355,110
10:46,Monday,119,129,224,284,354,109
10:47,Monday,118,128,223,283,353,108
10:48,Monday,117,127,222,282,352,107
10:49,Monday,116,126,221,281,351,106
10:50,Monday,115,125,220,280,350,105
10:51,Monday,114,124,219,279,349,104
10:52,Monday,113,123,218,278,348,103
10:53,Monday,112,122,217,277,347,102
10:54,Monday,111,121,216,276,346,101
10:55,Monday,110,120,215,275,345,100
10:56,Monday,109,119,214,274,344,99
10:57,Monday,108,118,213,273,343,98
10:58,Monday,107,117,212,272,342,97
10:59,Monday,106,116,211,271,341,96
11:00,Monday,105,115,210,270,340,95
11:01,Monday,106,116,211,271,341,96
11:02,Monday,107,117,212,272,342,97
11:03,Monday,108,118,213,273,343,98
11:04,Monday,109,119,214,274,344,99
11:05,Monday,110,120,215,275,345,100
11:06,Monday,111,121,216,276,346,101
11:07,Monday,112,122,217,277,347,102
11:08,Monday,113,123,218,278,348,103
11:09,Monday,114,124,219,279,349,104
11:10,Monday,115,125,220,280,350,105
11:11,Monday,116,126,221,281,351,106
11:12,Monday,117,127,222,282,352,107
11:13,Monday,118,128,223,283,353,108
11:14,Monday,119,129,224,284,354,109
11:15,Monday,120,130,225,285,355,110
11:16,Monday,121,131,226,286,356,111
11:17,Monday,122,132,227,287,357,112
11:18,Monday,123,133,228,288,358,113
11:19,Monday,124,134,229,289,359,114
11:20,Monday,125,135,230,290,360,115
11:21,Monday,126,136,231,291,361,116
11:22,Monday,127,137,232,292,362,117
11:23,Monday,128,138,233,293,363,118
11:24,Monday,129,139,234,294,364,119
11:25,Monday,130,140,235,295,365,120
11:26,Monday,131,141,236,296,366,121
11:27,Monday,132,142,237,297,367,122
11:28,Monday,133,143,238,298,368,123
11:29,Monday,134,144,239,299,369,124
11:30,Monday,135,145,240,300,370,125
11:31,Monday,134,144,239,299,369,124
11:32,Monday,133,143,238,298,368,123
