time_of_the_day,Day,CPU_Usage(%),Memory_Usage(%),Network_bandwidth_usage,Number_of_active_request,Response_time(ms),Disk_I/O,Predicted_Response(ms),Delta_ms
00:31,Monday,76,91,151,211,281,66.0,280.8,-0.19999999999998863
00:32,Monday,77,92,152,212,282,67.0,281.975,-0.024999999999977263
00:33,Monday,78,93,153,213,283,68.0,281.93,-1.0699999999999932
00:34,Monday,79,94,154,214,284,69.0,283.86,-0.13999999999998636
00:35,Monday,80,95,155,215,285,70.0,284.845,-0.15499999999997272
00:36,Monday,81,96,156,216,286,71.0,285.865,-0.1349999999999909
00:37,Monday,82,97,157,217,287,72.0,286.575,-0.42500000000001137
00:38,Monday,83,98,158,218,288,73.0,287.76,-0.2400000000000091
00:39,Monday,84,99,159,219,289,74.0,288.375,-0.625
00:40,Monday,85,100,160,220,290,75.0,288.79,-1.2099999999999795
00:41,Monday,84,99,159,219,289,74.0,288.375,-0.625
00:42,Monday,83,98,158,218,288,73.0,287.76,-0.2400000000000091
00:43,Monday,82,97,157,217,287,72.0,286.575,-0.42500000000001137
00:44,Monday,81,96,156,216,286,71.0,285.865,-0.1349999999999909
00:45,Monday,80,95,155,215,285,70.0,284.845,-0.15499999999997272
00:46,Monday,79,94,154,214,284,69.0,283.86,-0.13999999999998636
00:47,Monday,78,93,153,213,283,68.0,281.93,-1.0699999999999932
00:48,Monday,77,92,152,212,282,67.0,281.975,-0.024999999999977263
00:49,Monday,76,91,151,211,281,66.0,280.8,-0.19999999999998863
00:50,Monday,75,90,150,210,280,65.0,279.48,-0.5199999999999818
00:51,Monday,74,89,149,209,279,64.0,278.395,-0.6050000000000182
00:52,Monday,73,88,148,208,278,63.0,277.885,-0.1150000000000091
00:53,Monday,72,87,147,207,277,62.0,276.725,-0.27499999999997726
00:54,Monday,71,86,146,206,276,61.0,275.98,-0.01999999999998181
00:55,Monday,70,85,145,205,275,60.0,274.965,-0.03500000000002501
00:56,Monday,69,84,144,204,274,59.0,273.89,-0.11000000000001364
00:57,Monday,68,83,143,203,273,58.0,272.585,-0.41500000000002046
00:58,Monday,67,82,142,202,272,57.0,271.69,-0.3100000000000023
00:59,Monday,66,81,141,201,271,56.0,270.845,-0.15499999999997272
01:00,Monday,65,80,140,200,270,55.0,270.0,0.0
01:01,Monday,64,79,139,199,269,54.0,269.0,0.0
01:02,Monday,63,78,138,198,268,53.0,268.0,0.0
01:03,Monday,62,77,137,197,267,52.0,267.0,0.0
01:04,Monday,61,76,136,196,266,51.0,266.0,0.0
01:05,Monday,60,75,135,195,265,50.0,265.0,0.0
01:06,Monday,59,74,134,194,264,49.0,264.0,0.0
01:07,Monday,58,73,133,193,263,48.0,263.0,0.0
01:08,Monday,57,72,132,192,262,47.0,262.0,0.0
01:09,Monday,56,71,131,191,261,46.0,261.0,0.0
01:10,Monday,55,70,130,190,260,45.0,260.0,0.0
01:11,Monday,54,69,129,189,259,44.0,259.0,0.0
01:12,Monday,53,68,128,188,258,43.0,258.0,0.0
01:13,Monday,52,67,127,187,257,42.0,257.0,0.0
01:14,Monday,51,66,126,186,256,41.0,256.0,0.0
01:15,Monday,50,65,125,185,255,40.0,255.0,0.0
01:16,Monday,49,64,124,184,254,39.0,254.0,0.0
01:17,Monday,48,63,123,183,253,38.0,253.0,0.0
01:18,Monday,47,62,122,182,252,37.0,252.0,0.0
01:19,Monday,46,61,121,181,251,36.0,251.0,0.0
01:20,Monday,45,60,120,180,250,35.0,250.0,0.0
01:21,Monday,46,61,121,181,251,36.0,251.0,0.0
01:22,Monday,47,62,122,182,252,37.0,252.0,0.0
01:23,Monday,48,63,123,183,253,38.0,253.0,0.0
01:24,Monday,49,64,124,184,254,39.0,254.0,0.0
01:25,Monday,50,65,125,185,255,40.0,255.0,0.0
01:26,Monday,51,66,126,186,256,41.0,256.0,0.0
01:27,Monday,52,67,127,187,257,42.0,257.0,0.0
01:28,Monday,53,68,128,188,258,43.0,258.0,0.0
01:29,Monday,54,69,129,189,259,44.0,259.0,0.0
01:30,Monday,55,70,130,190,260,45.0,260.0,0.0
01:31,Monday,56,71,131,191,261,46.0,261.0,0.0
01:32,Monday,57,72,132,192,262,47.0,262.0,0.0
01:33,Monday,58,73,133,193,263,48.0,263.0,0.0
01:34,Monday,59,74,134,194,264,49.0,264.0,0.0
01:35,Monday,60,75,135,195,265,50.0,265.0,0.0
01:36,Monday,61,76,136,196,266,51.0,266.0,0.0
01:37,Monday,62,77,137,197,267,52.0,267.0,0.0
01:38,Monday,63,78,138,198,268,53.0,268.0,0.0
01:39,Monday,64,79,139,199,269,54.0,269.0,0.0
01:40,Monday,65,80,140,200,270,55.0,270.0,0.0
01:41,Monday,64,79,139,199,269,54.0,269.0,0.0
01:42,Monday,63,78,138,198,268,53.0,268.0,0.0
01:43,Monday,62,77,137,197,267,52.0,267.0,0.0
01:44,Monday,61,76,136,196,266,51.0,266.0,0.0
01:45,Monday,60,75,135,195,265,50.0,265.0,0.0
01:46,Monday,59,74,134,194,264,49.0,264.0,0.0
01:47,Monday,58,73,133,193,263,48.0,263.0,0.0
01:48,Monday,57,72,132,192,262,47.0,262.0,0.0
01:49,Monday,56,71,131,191,261,46.0,261.0,0.0
01:50,Monday,55,70,130,190,260,45.0,260.0,0.0
01:51,Monday,54,69,129,189,259,44.0,259.0,0.0
01:52,Monday,53,68,128,188,258,43.0,258.0,0.0
01:53,Monday,52,67,127,187,257,42.0,257.0,0.0
01:54,Monday,51,66,126,186,256,41.0,256.0,0.0
01:55,Monday,50,65,125,185,255,40.0,255.0,0.0
01:56,Monday,49,64,124,184,254,39.0,254.0,0.0
01:57,Monday,48,63,123,183,253,38.0,253.0,0.0
01:58,Monday,47,62,122,182,252,37.0,252.0,0.0
01:59,Monday,46,61,121,181,251,36.0,251.0,0.0
02:00,Monday,45,60,120,180,250,35.0,250.0,0.0
02:01,Monday,46,61,121,181,251,36.0,251.0,0.0
02:02,Monday,47,62,122,182,252,37.0,252.0,0.0
02:03,Monday,48,63,123,183,253,38.0,253.0,0.0
02:04,Monday,49,64,124,184,254,39.0,254.0,0.0
02:05,Monday,50,65,125,185,255,40.0,255.0,0.0
02:06,Monday,51,66,126,186,256,41.0,256.0,0.0
02:07,Monday,52,67,127,187,257,42.0,257.0,0.0
02:08,Monday,53,68,128,188,258,43.0,258.0,0.0
02:09,Monday,54,69,129,189,259,44.0,259.0,0.0
02:10,Monday,55,70,130,190,260,45.0,260.0,0.0
02:11,Monday,56,71,131,191,261,46.0,261.0,0.0
02:12,Monday,57,72,132,192,262,47.0,262.0,0.0
02:13,Monday,58,73,133,193,263,48.0,263.0,0.0
02:14,Monday,59,74,134,194,264,49.0,264.0,0.0
02:15,Monday,60,75,135,195,265,50.0,265.0,0.0
02:16,Monday,61,76,136,196,266,51.0,266.0,0.0
02:17,Monday,62,77,137,197,267,52.0,267.0,0.0
02:18,Monday,63,78,138,198,268,53.0,268.0,0.0
02:19,Monday,64,79,139,199,269,54.0,269.0,0.0
02:20,Monday,65,80,140,200,270,55.0,270.0,0.0
02:21,Monday,64,79,139,199,269,54.0,269.0,0.0
02:22,Monday,63,78,138,198,268,53.0,268.0,0.0
02:23,Monday,62,77,137,197,267,52.0,267.0,0.0
02:24,Monday,61,76,136,196,266,51.0,266.0,0.0
02:25,Monday,60,75,135,195,265,50.0,265.0,0.0
02:26,Monday,59,74,134,194,264,49.0,264.0,0.0
02:27,Monday,58,73,133,193,263,48.0,263.0,0.0
02:28,Monday,57,72,132,192,262,47.0,262.0,0.0
02:29,Monday,56,71,131,191,261,46.0,261.0,0.0
02:30,Monday,55,70,130,190,260,45.0,260.0,0.0
02:31,Monday,54,69,129,189,259,44.0,259.0,0.0
02:32,Monday,53,68,128,188,258,43.0,258.0,0.0
02:33,Monday,52,67,127,187,257,42.0,257.0,0.0
02:34,Monday,51,66,126,186,256,41.0,256.0,0.0
02:35,Monday,50,65,125,185,255,40.0,255.0,0.0
02:36,Monday,49,64,124,184,254,39.0,254.0,0.0
02:37,Monday,48,63,123,183,253,38.0,253.0,0.0
02:38,Monday,47,62,122,182,252,37.0,252.0,0.0
02:39,Monday,46,61,121,181,251,36.0,251.0,0.0
02:40,Monday,45,60,120,180,250,35.0,250.0,0.0
02:41,Monday,46,61,121,181,251,36.0,251.0,0.0
02:42,Monday,47,62,122,182,252,37.0,252.0,0.0
02:43,Monday,48,63,123,183,253,38.0,253.0,0.0
02:44,Monday,49,64,124,184,254,39.0,254.0,0.0
02:45,Monday,50,65,125,185,255,40.0,255.0,0.0
02:46,Monday,51,66,126,186,256,41.0,256.0,0.0
02:47,Monday,52,67,127,187,257,42.0,257.0,0.0
02:48,Monday,53,68,128,188,258,43.0,258.0,0.0
02:49,Monday,54,69,129,189,259,44.0,259.0,0.0
02:50,Monday,55,70,130,190,260,45.0,260.0,0.0
02:51,Monday,56,71,131,191,261,46.0,261.0,0.0
02:52,Monday,57,72,132,192,262,47.0,262.0,0.0
02:53,Monday,58,73,133,193,263,48.0,263.0,0.0
02:54,Monday,59,74,134,194,264,49.0,264.0,0.0
02:55,Monday,60,75,135,195,265,50.0,265.0,0.0
02:56,Monday,61,76,136,196,266,51.0,266.0,0.0
02:57,Monday,62,77,137,197,267,52.0,267.0,0.0
02:58,Monday,63,78,138,198,268,53.0,268.0,0.0
02:59,Monday,64,79,139,199,269,54.0,269.0,0.0
03:00,Monday,65,80,140,200,270,55.0,270.0,0.0
03:01,Monday,64,79,139,199,269,54.0,269.0,0.0
03:02,Monday,63,78,138,198,268,53.0,268.0,0.0
03:03,Monday,62,77,137,197,267,52.0,267.0,0.0
03:04,Monday,61,76,136,196,266,51.0,266.0,0.0
03:05,Monday,60,75,135,195,265,50.0,265.0,0.0
03:06,Monday,59,74,134,194,264,49.0,264.0,0.0
03:07,Monday,58,73,133,193,263,48.0,263.0,0.0
03:08,Monday,57,72,132,192,262,47.0,262.0,0.0
03:09,Monday,56,71,131,191,261,46.0,261.0,0.0
03:10,Monday,55,70,130,190,260,45.0,260.0,0.0
03:11,Monday,54,69,129,189,259,44.0,259.0,0.0
03:12,Monday,53,68,128,188,258,43.0,258.0,0.0
03:13,Monday,52,67,127,187,257,42.0,257.0,0.0
03:14,Monday,51,66,126,186,256,41.0,256.0,0.0
03:15,Monday,50,65,125,185,255,40.0,255.0,0.0
03:16,Monday,49,64,124,184,254,39.0,254.0,0.0
03:17,Monday,48,63,123,183,253,38.0,253.0,0.0
03:18,Monday,47,62,122,182,252,37.0,252.0,0.0
03:19,Monday,46,61,121,181,251,36.0,251.0,0.0
03:20,Monday,45,60,120,180,250,35.0,250.0,0.0
03:21,Monday,46,61,121,181,251,36.0,251.0,0.0
03:22,Monday,47,62,122,182,252,37.0,252.0,0.0
03:23,Monday,48,63,123,183,253,38.0,253.0,0.0
03:24,Monday,49,64,124,184,254,39.0,254.0,0.0
03:25,Monday,50,65,125,185,255,40.0,255.0,0.0
03:26,Monday,51,66,126,186,256,41.0,256.0,0.0
03:27,Monday,52,67,127,187,257,42.0,257.0,0.0
03:28,Monday,53,68,128,188,258,43.0,258.0,0.0
03:29,Monday,54,69,129,189,259,44.0,259.0,0.0
03:30,Monday,55,70,130,190,260,45.0,260.0,0.0
03:31,Monday,56,71,131,191,261,46.0,261.0,0.0
03:32,Monday,57,72,132,192,262,47.0,262.0,0.0
03:33,Monday,58,73,133,193,263,48.0,263.0,0.0
03:34,Monday,59,74,134,194,264,49.0,264.0,0.0
03:35,Monday,60,75,135,195,265,50.0,265.0,0.0
03:36,Monday,61,76,136,196,266,51.0,266.0,0.0
03:37,Monday,62,77,137,197,267,52.0,267.0,0.0
03:38,Monday,63,78,138,198,268,53.0,268.0,0.0
03:39,Monday,64,79,139,199,269,54.0,269.0,0.0
03:40,Monday,65,80,140,200,270,55.0,270.0,0.0
03:41,Monday,64,79,139,199,269,54.0,269.0,0.0
03:42,Monday,63,78,138,198,268,53.0,268.0,0.0
03:43,Monday,62,77,137,197,267,52.0,267.0,0.0
03:44,Monday,61,76,136,196,266,51.0,266.0,0.0
03:45,Monday,60,75,135,195,265,50.0,265.0,0.0
03:46,Monday,59,74,134,194,264,49.0,264.0,0.0
03:47,Monday,58,73,133,193,263,48.0,263.0,0.0
03:48,Monday,57,72,132,192,262,47.0,262.0,0.0
03:49,Monday,56,71,131,191,261,46.0,261.0,0.0
03:50,Monday,55,70,130,190,260,45.0,260.0,0.0
03:51,Monday,54,69,129,189,259,44.0,259.0,0.0
03:52,Monday,53,68,128,188,258,43.0,258.0,0.0
03:53,Monday,52,67,127,187,257,42.0,257.0,0.0
03:54,Monday,51,66,126,186,256,41.0,256.0,0.0
03:55,Monday,50,65,125,185,255,40.0,255.0,0.0
03:56,Monday,49,64,124,184,254,39.0,254.0,0.0
03:57,Monday,48,63,123,183,253,38.0,253.0,0.0
03:58,Monday,47,62,122,182,252,37.0,252.0,0.0
03:59,Monday,46,61,121,181,251,36.0,251.0,0.0
04:00,Monday,45,60,120,180,250,35.0,250.0,0.0
04:01,Monday,46,61,121,181,251,36.0,251.0,0.0
04:02,Monday,47,62,122,182,252,37.0,252.0,0.0
04:03,Monday,48,63,123,183,253,38.0,253.0,0.0
04:04,Monday,49,64,124,184,254,39.0,254.0,0.0
04:05,Monday,50,65,125,185,255,40.0,255.0,0.0
04:06,Monday,51,66,126,186,256,41.0,256.0,0.0
04:07,Monday,52,67,127,187,257,42.0,257.0,0.0
04:08,Monday,53,68,128,188,258,43.0,258.0,0.0
04:09,Monday,54,69,129,189,259,44.0,259.0,0.0
04:10,Monday,55,70,130,190,260,45.0,260.0,0.0
04:11,Monday,56,71,131,191,261,46.0,261.0,0.0
04:12,Monday,57,72,132,192,262,47.0,262.0,0.0
04:13,Monday,58,73,133,193,263,48.0,263.0,0.0
04:14,Monday,59,74,134,194,264,49.0,264.0,0.0
04:15,Monday,60,75,135,195,265,50.0,265.0,0.0
04:16,Monday,61,76,136,196,266,51.0,266.0,0.0
04:17,Monday,62,77,137,197,267,52.0,267.0,0.0
04:18,Monday,63,78,138,198,268,53.0,268.0,0.0
04:19,Monday,64,79,139,199,269,54.0,269.0,0.0
04:20,Monday,65,80,140,200,270,55.0,270.0,0.0
04:21,Monday,64,79,139,199,269,54.0,269.0,0.0
04:22,Monday,63,78,138,198,268,53.0,268.0,0.0
04:23,Monday,62,77,137,197,267,52.0,267.0,0.0
04:24,Monday,61,76,136,196,266,51.0,266.0,0.0
04:25,Monday,60,75,135,195,265,50.0,265.0,0.0
04:26,Monday,59,74,134,194,264,49.0,264.0,0.0
04:27,Monday,58,73,133,193,263,48.0,263.0,0.0
04:28,Monday,57,72,132,192,262,47.0,262.0,0.0
04:29,Monday,56,71,131,191,261,46.0,261.0,0.0
04:30,Monday,55,70,130,190,260,45.0,260.0,0.0
04:31,Monday,54,69,129,189,259,44.0,259.0,0.0
04:32,Monday,53,68,128,188,258,43.0,258.0,0.0
04:33,Monday,52,67,127,187,257,42.0,257.0,0.0
04:34,Monday,51,66,126,186,256,41.0,256.0,0.0
04:35,Monday,50,65,125,185,255,40.0,255.0,0.0
04:36,Monday,49,64,124,184,254,39.0,254.0,0.0
04:37,Monday,48,63,123,183,253,38.0,253.0,0.0
04:38,Monday,47,62,122,182,252,37.0,252.0,0.0
04:39,Monday,46,61,121,181,251,36.0,251.0,0.0
04:40,Monday,45,60,120,180,250,35.0,250.0,0.0
04:41,Monday,46,61,121,181,251,36.0,251.0,0.0
04:42,Monday,47,62,122,182,252,37.0,252.0,0.0
04:43,Monday,48,63,123,183,253,38.0,253.0,0.0
04:44,Monday,49,64,124,184,254,39.0,254.0,0.0
04:45,Monday,50,65,125,185,255,40.0,255.0,0.0
04:46,Monday,51,66,126,186,256,41.0,256.0,0.0
04:47,Monday,52,67,127,187,257,42.0,257.0,0.0
04:48,Monday,53,68,128,188,258,43.0,258.0,0.0
04:49,Monday,54,69,129,189,259,44.0,259.0,0.0
04:50,Monday,55,70,130,190,260,45.0,260.0,0.0
04:51,Monday,56,71,131,191,261,46.0,261.0,0.0
04:52,Monday,57,72,132,192,262,47.0,262.0,0.0
04:53,Monday,58,73,133,193,263,48.0,263.0,0.0
04:54,Monday,59,74,134,194,264,49.0,264.0,0.0
04:55,Monday,60,75,135,195,265,50.0,265.0,0.0
04:56,Monday,61,76,136,196,266,51.0,266.0,0.0
04:57,Monday,62,77,137,197,267,52.0,267.0,0.0
04:58,Monday,63,78,138,198,268,53.0,268.0,0.0
04:59,Monday,64,79,139,199,269,54.0,269.0,0.0
05:00,Monday,65,80,140,200,270,55.0,270.0,0.0
05:01,Monday,64,79,139,199,269,54.0,269.0,0.0
05:02,Monday,63,78,138,198,268,53.0,268.0,0.0
05:03,Monday,62,77,137,197,267,52.0,267.0,0.0
05:04,Monday,61,76,136,196,266,51.0,266.0,0.0
05:05,Monday,60,75,135,195,265,50.0,265.0,0.0
05:06,Monday,59,74,134,194,264,49.0,264.0,0.0
05:07,Monday,58,73,133,193,263,48.0,263.0,0.0
05:08,Monday,57,72,132,192,262,47.0,262.0,0.0
05:09,Monday,56,71,131,191,261,46.0,261.0,0.0
05:10,Monday,55,70,130,190,260,45.0,260.0,0.0
05:11,Monday,54,69,129,189,259,44.0,259.0,0.0
05:12,Monday,53,68,128,188,258,43.0,258.0,0.0
05:13,Monday,52,67,127,187,257,42.0,257.0,0.0
05:14,Monday,51,66,126,186,256,41.0,256.0,0.0
05:15,Monday,50,65,125,185,255,40.0,255.0,0.0
05:16,Monday,49,64,124,184,254,39.0,254.0,0.0
05:17,Monday,48,63,123,183,253,38.0,253.0,0.0
05:18,Monday,47,62,122,182,252,37.0,252.0,0.0
05:19,Monday,46,61,121,181,251,36.0,251.0,0.0
05:20,Monday,45,60,120,180,250,35.0,250.0,0.0
05:21,Monday,46,61,121,181,251,36.0,251.0,0.0
05:22,Monday,47,62,122,182,252,37.0,252.0,0.0
05:23,Monday,48,63,123,183,253,38.0,253.0,0.0
05:24,Monday,49,64,124,184,254,39.0,254.0,0.0
05:25,Monday,50,65,125,185,255,40.0,255.0,0.0
05:26,Monday,51,66,126,186,256,41.0,256.0,0.0
05:27,Monday,52,67,127,187,257,42.0,257.0,0.0
05:28,Monday,53,68,128,188,258,43.0,258.0,0.0
05:29,Monday,54,69,129,189,259,44.0,259.0,0.0
05:30,Monday,55,70,130,190,260,45.0,260.0,0.0
05:31,Monday,56,71,131,191,261,46.0,261.0,0.0
05:32,Monday,57,72,132,192,262,47.0,262.0,0.0
05:33,Monday,58,73,133,193,263,48.0,263.0,0.0
05:34,Monday,59,74,134,194,264,49.0,264.0,0.0
05:35,Monday,60,75,135,195,265,50.0,265.0,0.0
05:36,Monday,61,76,136,196,266,51.0,266.0,0.0
05:37,Monday,62,77,137,197,267,52.0,267.0,0.0
05:38,Monday,63,78,138,198,268,53.0,268.0,0.0
05:39,Monday,64,79,139,199,269,54.0,269.0,0.0
05:40,Monday,65,80,140,200,270,55.0,270.0,0.0
05:41,Monday,64,79,139,199,269,54.0,269.0,0.0
05:42,Monday,63,78,138,198,268,53.0,268.0,0.0
05:43,Monday,62,77,137,197,267,52.0,267.0,0.0
05:44,Monday,61,76,136,196,266,51.0,266.0,0.0
05:45,Monday,60,75,135,195,265,50.0,265.0,0.0
05:46,Monday,59,74,134,194,264,49.0,264.0,0.0
05:47,Monday,58,73,133,193,263,48.0,263.0,0.0
05:48,Monday,57,72,132,192,262,47.0,262.0,0.0
05:49,Monday,56,71,131,191,261,46.0,261.0,0.0
05:50,Monday,55,70,130,190,260,45.0,260.0,0.0
05:51,Monday,54,69,129,189,259,44.0,259.0,0.0
05:52,Monday,53,68,128,188,258,43.0,258.0,0.0
05:53,Monday,52,67,127,187,257,42.0,257.0,0.0
05:54,Monday,51,66,126,186,256,41.0,256.0,0.0
05:55,Monday,50,65,125,185,255,40.0,255.0,0.0
05:56,Monday,49,64,124,184,254,39.0,254.0,0.0
05:57,Monday,48,63,123,183,253,38.0,253.0,0.0
05:58,Monday,47,62,122,182,252,37.0,252.0,0.0
05:59,Monday,46,61,121,181,251,36.0,251.0,0.0
06:00,Monday,75,85,180,240,310,65.0,310.03,0.029999999999972715
06:01,Monday,76,86,181,241,311,66.0,310.995,-0.0049999999999954525
06:02,Monday,77,87,182,242,312,67.0,312.005,0.0049999999999954525
06:03,Monday,78,88,183,243,313,68.0,313.03,0.029999999999972715
06:04,Monday,79,89,184,244,314,69.0,314.105,0.10500000000001819
06:05,Monday,80,90,185,245,315,70.0,315.025,0.024999999999977263
06:06,Monday,81,91,186,246,316,71.0,316.035,0.03500000000002501
06:07,Monday,82,92,187,247,317,72.0,317.02,0.01999999999998181
06:08,Monday,83,93,188,248,318,73.0,318.025,0.024999999999977263
06:09,Monday,84,94,189,249,319,74.0,319.015,0.014999999999986358
06:10,Monday,85,95,190,250,320,75.0,320.0,0.0
06:11,Monday,86,96,191,251,321,76.0,321.0,0.0
06:12,Monday,87,97,192,252,322,77.0,322.005,0.0049999999999954525
06:13,Monday,88,98,193,253,323,78.0,323.005,0.0049999999999954525
06:14,Monday,89,99,194,254,324,79.0,324.0,0.0
06:15,Monday,90,100,195,255,325,80.0,325.0,0.0
06:16,Monday,91,101,196,256,326,81.0,326.0,0.0
06:17,Monday,92,102,197,257,327,82.0,327.0,0.0
06:18,Monday,93,103,198,258,328,83.0,328.0,0.0
06:19,Monday,94,104,199,259,329,84.0,329.0,0.0
06:20,Monday,95,105,200,260,330,85.0,330.0,0.0
06:21,Monday,96,106,201,261,331,86.0,331.0,0.0
06:22,Monday,97,107,202,262,332,87.0,332.0,0.0
06:23,Monday,98,108,203,263,333,88.0,333.0,0.0
06:24,Monday,99,109,204,264,334,89.0,334.0,0.0
06:25,Monday,100,110,205,265,335,90.0,335.0,0.0
06:26,Monday,101,111,206,266,336,91.0,336.0,0.0
06:27,Monday,102,112,207,267,337,92.0,337.0,0.0
06:28,Monday,103,113,208,268,338,93.0,338.0,0.0
06:29,Monday,104,114,209,269,339,94.0,339.0,0.0
06:30,Monday,105,115,210,270,340,95.0,340.0,0.0
06:31,Monday,106,116,211,271,341,96.0,341.0,0.0
06:32,Monday,107,117,212,272,342,97.0,342.0,0.0
06:33,Monday,108,118,213,273,343,98.0,343.0,0.0
06:34,Monday,109,119,214,274,344,99.0,344.0,0.0
06:35,Monday,110,120,215,275,345,100.0,345.0,0.0
06:36,Monday,109,119,214,274,344,99.0,344.0,0.0
06:37,Monday,108,118,213,273,343,98.0,343.0,0.0
06:38,Monday,107,117,212,272,342,97.0,342.0,0.0
06:39,Monday,106,116,211,271,341,96.0,341.0,0.0
06:40,Monday,105,115,210,270,340,95.0,340.0,0.0
06:41,Monday,104,114,209,269,339,94.0,339.0,0.0
06:42,Monday,103,113,208,268,338,93.0,338.0,0.0
06:43,Monday,102,112,207,267,337,92.0,337.0,0.0
06:44,Monday,101,111,206,266,336,91.0,336.0,0.0
06:45,Monday,100,110,205,265,335,90.0,335.0,0.0
06:46,Monday,99,109,204,264,334,89.0,334.0,0.0
06:47,Monday,98,108,203,263,333,88.0,333.0,0.0
06:48,Monday,97,107,202,262,332,87.0,332.0,0.0
06:49,Monday,96,106,201,261,331,86.0,331.0,0.0
06:50,Monday,95,105,200,260,330,85.0,330.0,0.0
06:51,Monday,94,104,199,259,329,84.0,329.0,0.0
06:52,Monday,93,103,198,258,328,83.0,328.0,0.0
06:53,Monday,92,102,197,257,327,82.0,327.0,0.0
06:54,Monday,91,101,196,256,326,81.0,326.0,0.0
06:55,Monday,90,100,195,255,325,80.0,325.0,0.0
06:56,Monday,89,99,194,254,324,79.0,324.0,0.0
06:57,Monday,88,98,193,253,323,78.0,323.005,0.0049999999999954525
06:58,Monday,87,97,192,252,322,77.0,322.005,0.0049999999999954525
06:59,Monday,86,96,191,251,321,76.0,321.0,0.0
07:00,Monday,85,95,190,250,320,75.0,320.0,0.0
07:01,Monday,86,96,191,251,321,76.0,321.0,0.0
07:02,Monday,87,97,192,252,322,77.0,322.005,0.0049999999999954525
07:03,Monday,88,98,193,253,323,78.0,323.005,0.0049999999999954525
07:04,Monday,89,99,194,254,324,79.0,324.0,0.0
07:05,Monday,90,100,195,255,325,80.0,325.0,0.0
07:06,Monday,91,101,196,256,326,81.0,326.0,0.0
07:07,Monday,92,102,197,257,327,82.0,327.0,0.0
07:08,Monday,93,103,198,258,328,83.0,328.0,0.0
07:09,Monday,94,104,199,259,329,84.0,329.0,0.0
07:10,Monday,95,105,200,260,330,85.0,330.0,0.0
07:11,Monday,96,106,201,261,331,86.0,331.0,0.0
07:12,Monday,97,107,202,262,332,87.0,332.0,0.0
07:13,Monday,98,108,203,263,333,88.0,333.0,0.0
07:14,Monday,99,109,204,264,334,89.0,334.0,0.0
07:15,Monday,100,110,205,265,335,90.0,335.0,0.0
07:16,Monday,101,111,206,266,336,91.0,336.0,0.0
07:17,Monday,102,112,207,267,337,92.0,337.0,0.0
07:18,Monday,103,113,208,268,338,93.0,338.0,0.0
07:19,Monday,104,114,209,269,339,94.0,339.0,0.0
07:20,Monday,105,115,210,270,340,95.0,340.0,0.0
07:21,Monday,106,116,211,271,341,96.0,341.0,0.0
07:22,Monday,107,117,212,272,342,97.0,342.0,0.0
07:23,Monday,108,118,213,273,343,98.0,343.0,0.0
07:24,Monday,109,119,214,274,344,99.0,344.0,0.0
07:25,Monday,110,120,215,275,345,100.0,345.0,0.0
07:26,Monday,111,121,216,276,346,101.0,346.0,0.0
07:27,Monday,112,122,217,277,347,102.0,347.0,0.0
07:28,Monday,113,123,218,278,348,103.0,348.0,0.0
07:29,Monday,114,124,219,279,349,104.0,349.0,0.0
